   50270/2000000: episode: 74, duration: 13.334s, episode steps: 519, steps per second:  39, episode reward:  4.000, mean reward:  0.008 [ 0.000,  1.000], mean action: 2.644 [0.000, 5.000],  loss: 0.006156, mae: 0.014239, mean_q: 0.020979, mean_eps: 0.968247
   51209/2000000: episode: 75, duration: 36.877s, episode steps: 939, steps per second:  25, episode reward: 13.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.482 [0.000, 5.000],  loss: 0.006686, mae: 0.013210, mean_q: 0.013179, mean_eps: 0.967865
   51622/2000000: episode: 76, duration: 16.190s, episode steps: 413, steps per second:  26, episode reward:  6.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.453 [0.000, 5.000],  loss: 0.006196, mae: 0.012740, mean_q: 0.008496, mean_eps: 0.967437
   52388/2000000: episode: 77, duration: 31.584s, episode steps: 766, steps per second:  24, episode reward: 11.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.569 [0.000, 5.000],  loss: 0.006532, mae: 0.012890, mean_q: 0.017494, mean_eps: 0.967064
   52797/2000000: episode: 78, duration: 16.439s, episode steps: 409, steps per second:  25, episode reward:  6.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.408 [0.000, 5.000],  loss: 0.007061, mae: 0.012769, mean_q: 0.006376, mean_eps: 0.966692
   53281/2000000: episode: 79, duration: 19.129s, episode steps: 484, steps per second:  25, episode reward:  6.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.576 [0.000, 5.000],  loss: 0.007003, mae: 0.015251, mean_q: 0.015980, mean_eps: 0.966408
   53941/2000000: episode: 80, duration: 25.936s, episode steps: 660, steps per second:  25, episode reward:  9.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.483 [0.000, 5.000],  loss: 0.006324, mae: 0.012808, mean_q: 0.008469, mean_eps: 0.966046
   54729/2000000: episode: 81, duration: 31.160s, episode steps: 788, steps per second:  25, episode reward:  9.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.614 [0.000, 5.000],  loss: 0.006301, mae: 0.012768, mean_q: 0.001648, mean_eps: 0.965587
   55221/2000000: episode: 82, duration: 19.376s, episode steps: 492, steps per second:  25, episode reward:  7.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.526 [0.000, 5.000],  loss: 0.005817, mae: 0.013655, mean_q: 0.007470, mean_eps: 0.965182
   55960/2000000: episode: 83, duration: 28.594s, episode steps: 739, steps per second:  26, episode reward: 12.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.502 [0.000, 5.000],  loss: 0.006653, mae: 0.011201, mean_q: 0.007396, mean_eps: 0.964793
   56735/2000000: episode: 84, duration: 29.952s, episode steps: 775, steps per second:  26, episode reward:  9.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.428 [0.000, 5.000],  loss: 0.007178, mae: 0.014693, mean_q: 0.012991, mean_eps: 0.964314
   57801/2000000: episode: 85, duration: 40.454s, episode steps: 1066, steps per second:  26, episode reward:  8.000, mean reward:  0.008 [ 0.000,  1.000], mean action: 2.521 [0.000, 5.000],  loss: 0.006234, mae: 0.012925, mean_q: 0.015381, mean_eps: 0.963730
   58583/2000000: episode: 86, duration: 29.482s, episode steps: 782, steps per second:  27, episode reward: 14.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.449 [0.000, 5.000],  loss: 0.005999, mae: 0.014548, mean_q: 0.019218, mean_eps: 0.963145
   59016/2000000: episode: 87, duration: 16.486s, episode steps: 433, steps per second:  26, episode reward:  3.000, mean reward:  0.007 [ 0.000,  1.000], mean action: 2.510 [0.000, 5.000],  loss: 0.006467, mae: 0.016340, mean_q: 0.016408, mean_eps: 0.962761
   60132/2000000: episode: 88, duration: 42.315s, episode steps: 1116, steps per second:  26, episode reward: 16.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.523 [0.000, 5.000],  loss: 0.006236, mae: 0.016486, mean_q: 0.019692, mean_eps: 0.962271
   60540/2000000: episode: 89, duration: 15.506s, episode steps: 408, steps per second:  26, episode reward:  8.000, mean reward:  0.020 [ 0.000,  1.000], mean action: 2.397 [0.000, 5.000],  loss: 0.005877, mae: 0.028808, mean_q: 0.038263, mean_eps: 0.961788
   61052/2000000: episode: 90, duration: 19.513s, episode steps: 512, steps per second:  26, episode reward:  8.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.521 [0.000, 5.000],  loss: 0.006571, mae: 0.031374, mean_q: 0.040533, mean_eps: 0.961497
   61764/2000000: episode: 91, duration: 27.073s, episode steps: 712, steps per second:  26, episode reward:  9.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.409 [0.000, 5.000],  loss: 0.006777, mae: 0.031432, mean_q: 0.040227, mean_eps: 0.961110
   62447/2000000: episode: 92, duration: 25.741s, episode steps: 683, steps per second:  27, episode reward: 10.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.438 [0.000, 5.000],  loss: 0.005467, mae: 0.028944, mean_q: 0.037113, mean_eps: 0.960667
   63054/2000000: episode: 93, duration: 23.086s, episode steps: 607, steps per second:  26, episode reward:  7.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.372 [0.000, 5.000],  loss: 0.006073, mae: 0.028278, mean_q: 0.036755, mean_eps: 0.960258
   63548/2000000: episode: 94, duration: 18.805s, episode steps: 494, steps per second:  26, episode reward:  4.000, mean reward:  0.008 [ 0.000,  1.000], mean action: 2.561 [0.000, 5.000],  loss: 0.007396, mae: 0.031718, mean_q: 0.039529, mean_eps: 0.959910
   64182/2000000: episode: 95, duration: 24.228s, episode steps: 634, steps per second:  26, episode reward: 10.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.454 [0.000, 5.000],  loss: 0.004860, mae: 0.029363, mean_q: 0.039119, mean_eps: 0.959553
   65146/2000000: episode: 96, duration: 36.337s, episode steps: 964, steps per second:  27, episode reward: 15.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.386 [0.000, 5.000],  loss: 0.006361, mae: 0.030977, mean_q: 0.039037, mean_eps: 0.959046
   65763/2000000: episode: 97, duration: 23.265s, episode steps: 617, steps per second:  27, episode reward:  6.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.459 [0.000, 5.000],  loss: 0.005585, mae: 0.029525, mean_q: 0.038142, mean_eps: 0.958546
   67201/2000000: episode: 98, duration: 54.226s, episode steps: 1438, steps per second:  27, episode reward: 12.000, mean reward:  0.008 [ 0.000,  1.000], mean action: 2.499 [0.000, 5.000],  loss: 0.005690, mae: 0.029049, mean_q: 0.039914, mean_eps: 0.957895
   67972/2000000: episode: 99, duration: 29.208s, episode steps: 771, steps per second:  26, episode reward: 11.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.540 [0.000, 5.000],  loss: 0.006131, mae: 0.030446, mean_q: 0.041803, mean_eps: 0.957196
   68365/2000000: episode: 100, duration: 14.957s, episode steps: 393, steps per second:  26, episode reward:  9.000, mean reward:  0.023 [ 0.000,  1.000], mean action: 2.366 [0.000, 5.000],  loss: 0.005624, mae: 0.029065, mean_q: 0.038716, mean_eps: 0.956827
   69076/2000000: episode: 101, duration: 26.822s, episode steps: 711, steps per second:  27, episode reward:  8.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.668 [0.000, 5.000],  loss: 0.006332, mae: 0.029483, mean_q: 0.039095, mean_eps: 0.956477
   69570/2000000: episode: 102, duration: 18.694s, episode steps: 494, steps per second:  26, episode reward: 10.000, mean reward:  0.020 [ 0.000,  1.000], mean action: 2.470 [0.000, 5.000],  loss: 0.007500, mae: 0.032838, mean_q: 0.043564, mean_eps: 0.956096
   70424/2000000: episode: 103, duration: 32.380s, episode steps: 854, steps per second:  26, episode reward: 14.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.482 [0.000, 5.000],  loss: 0.005830, mae: 0.037828, mean_q: 0.051683, mean_eps: 0.955669
   71160/2000000: episode: 104, duration: 27.874s, episode steps: 736, steps per second:  26, episode reward: 13.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.418 [0.000, 5.000],  loss: 0.006328, mae: 0.047575, mean_q: 0.063884, mean_eps: 0.955166
   71865/2000000: episode: 105, duration: 26.718s, episode steps: 705, steps per second:  26, episode reward:  5.000, mean reward:  0.007 [ 0.000,  1.000], mean action: 2.401 [0.000, 5.000],  loss: 0.006126, mae: 0.047895, mean_q: 0.063855, mean_eps: 0.954709
   72671/2000000: episode: 106, duration: 30.378s, episode steps: 806, steps per second:  27, episode reward: 14.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 2.422 [0.000, 5.000],  loss: 0.005647, mae: 0.045377, mean_q: 0.061021, mean_eps: 0.954230
   73047/2000000: episode: 107, duration: 14.161s, episode steps: 376, steps per second:  27, episode reward:  7.000, mean reward:  0.019 [ 0.000,  1.000], mean action: 2.364 [0.000, 5.000],  loss: 0.006477, mae: 0.046532, mean_q: 0.062400, mean_eps: 0.953857
   73803/2000000: episode: 108, duration: 28.538s, episode steps: 756, steps per second:  26, episode reward: 11.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.530 [0.000, 5.000],  loss: 0.006392, mae: 0.046669, mean_q: 0.063969, mean_eps: 0.953498
   74451/2000000: episode: 109, duration: 24.455s, episode steps: 648, steps per second:  26, episode reward:  9.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.523 [0.000, 5.000],  loss: 0.005992, mae: 0.046280, mean_q: 0.061459, mean_eps: 0.953054
   75117/2000000: episode: 110, duration: 25.683s, episode steps: 666, steps per second:  26, episode reward: 10.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.477 [0.000, 5.000],  loss: 0.006823, mae: 0.049412, mean_q: 0.066093, mean_eps: 0.952637
   76598/2000000: episode: 111, duration: 56.656s, episode steps: 1481, steps per second:  26, episode reward: 15.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.535 [0.000, 5.000],  loss: 0.006224, mae: 0.047572, mean_q: 0.064952, mean_eps: 0.951957
   76999/2000000: episode: 112, duration: 15.281s, episode steps: 401, steps per second:  26, episode reward:  7.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 2.544 [0.000, 5.000],  loss: 0.005568, mae: 0.044915, mean_q: 0.061003, mean_eps: 0.951361
   77906/2000000: episode: 113, duration: 34.612s, episode steps: 907, steps per second:  26, episode reward: 12.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.408 [0.000, 5.000],  loss: 0.005507, mae: 0.044595, mean_q: 0.061877, mean_eps: 0.950947
   78702/2000000: episode: 114, duration: 30.439s, episode steps: 796, steps per second:  26, episode reward: 13.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.508 [0.000, 5.000],  loss: 0.005821, mae: 0.045888, mean_q: 0.066091, mean_eps: 0.950407
   79205/2000000: episode: 115, duration: 19.431s, episode steps: 503, steps per second:  26, episode reward:  7.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.503 [0.000, 5.000],  loss: 0.005601, mae: 0.045391, mean_q: 0.062460, mean_eps: 0.949996
   79586/2000000: episode: 116, duration: 14.523s, episode steps: 381, steps per second:  26, episode reward:  6.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.517 [0.000, 5.000],  loss: 0.006338, mae: 0.047767, mean_q: 0.064232, mean_eps: 0.949716
   80065/2000000: episode: 117, duration: 18.480s, episode steps: 479, steps per second:  26, episode reward:  5.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.438 [0.000, 5.000],  loss: 0.005216, mae: 0.046279, mean_q: 0.064739, mean_eps: 0.949444
   80568/2000000: episode: 118, duration: 19.256s, episode steps: 503, steps per second:  26, episode reward:  6.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.537 [0.000, 5.000],  loss: 0.005774, mae: 0.061345, mean_q: 0.084476, mean_eps: 0.949133
   81357/2000000: episode: 119, duration: 30.380s, episode steps: 789, steps per second:  26, episode reward: 10.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.534 [0.000, 5.000],  loss: 0.005656, mae: 0.058118, mean_q: 0.078997, mean_eps: 0.948724
   82348/2000000: episode: 120, duration: 38.088s, episode steps: 991, steps per second:  26, episode reward: 16.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.524 [0.000, 5.000],  loss: 0.006035, mae: 0.059185, mean_q: 0.080616, mean_eps: 0.948160
   83055/2000000: episode: 121, duration: 27.177s, episode steps: 707, steps per second:  26, episode reward:  9.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.509 [0.000, 5.000],  loss: 0.005962, mae: 0.057104, mean_q: 0.076645, mean_eps: 0.947623
   83487/2000000: episode: 122, duration: 16.464s, episode steps: 432, steps per second:  26, episode reward:  6.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.553 [0.000, 5.000],  loss: 0.004873, mae: 0.057275, mean_q: 0.078115, mean_eps: 0.947262
   84334/2000000: episode: 123, duration: 32.519s, episode steps: 847, steps per second:  26, episode reward:  8.000, mean reward:  0.009 [ 0.000,  1.000], mean action: 2.549 [0.000, 5.000],  loss: 0.005755, mae: 0.057201, mean_q: 0.079704, mean_eps: 0.946857
   85189/2000000: episode: 124, duration: 33.732s, episode steps: 855, steps per second:  25, episode reward: 10.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.527 [0.000, 5.000],  loss: 0.005992, mae: 0.059546, mean_q: 0.082683, mean_eps: 0.946317
   86016/2000000: episode: 125, duration: 31.794s, episode steps: 827, steps per second:  26, episode reward: 12.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.459 [0.000, 5.000],  loss: 0.006199, mae: 0.059839, mean_q: 0.083178, mean_eps: 0.945785
