  25503/600000: episode: 38, duration: 15.486s, episode steps: 716, steps per second:  46, episode reward: 12.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 2.492 [0.000, 5.000],  loss: 0.007130, mae: 0.049164, mean_q: 0.072816, mean_eps: 0.954546
  26148/600000: episode: 39, duration: 17.560s, episode steps: 645, steps per second:  37, episode reward: 12.000, mean reward:  0.019 [ 0.000,  1.000], mean action: 2.443 [0.000, 5.000],  loss: 0.006725, mae: 0.047785, mean_q: 0.064070, mean_eps: 0.953517
  26887/600000: episode: 40, duration: 21.202s, episode steps: 739, steps per second:  35, episode reward: 10.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.549 [0.000, 5.000],  loss: 0.008195, mae: 0.051590, mean_q: 0.072036, mean_eps: 0.952271
  28064/600000: episode: 41, duration: 31.870s, episode steps: 1177, steps per second:  37, episode reward: 13.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.547 [0.000, 5.000],  loss: 0.006249, mae: 0.046665, mean_q: 0.061475, mean_eps: 0.950547
  28668/600000: episode: 42, duration: 15.995s, episode steps: 604, steps per second:  38, episode reward:  5.000, mean reward:  0.008 [ 0.000,  1.000], mean action: 2.548 [0.000, 5.000],  loss: 0.006051, mae: 0.046729, mean_q: 0.065017, mean_eps: 0.948945
  29281/600000: episode: 43, duration: 15.437s, episode steps: 613, steps per second:  40, episode reward:  9.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.533 [0.000, 5.000],  loss: 0.006068, mae: 0.046881, mean_q: 0.062340, mean_eps: 0.947847
  29825/600000: episode: 44, duration: 14.149s, episode steps: 544, steps per second:  38, episode reward:  8.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.506 [0.000, 5.000],  loss: 0.008692, mae: 0.052178, mean_q: 0.070124, mean_eps: 0.946803
  30484/600000: episode: 45, duration: 14.964s, episode steps: 659, steps per second:  44, episode reward:  8.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.496 [0.000, 5.000],  loss: 0.005958, mae: 0.062105, mean_q: 0.084126, mean_eps: 0.945723
  31115/600000: episode: 46, duration: 12.904s, episode steps: 631, steps per second:  49, episode reward: 11.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 2.582 [0.000, 5.000],  loss: 0.006589, mae: 0.068893, mean_q: 0.093050, mean_eps: 0.944564
  31975/600000: episode: 47, duration: 15.405s, episode steps: 860, steps per second:  56, episode reward: 17.000, mean reward:  0.020 [ 0.000,  1.000], mean action: 2.535 [0.000, 5.000],  loss: 0.006740, mae: 0.070075, mean_q: 0.091275, mean_eps: 0.943221
  32302/600000: episode: 48, duration: 5.142s, episode steps: 327, steps per second:  64, episode reward:  3.000, mean reward:  0.009 [ 0.000,  1.000], mean action: 2.379 [0.000, 5.000],  loss: 0.006875, mae: 0.070339, mean_q: 0.089966, mean_eps: 0.942152
  32909/600000: episode: 49, duration: 10.086s, episode steps: 607, steps per second:  60, episode reward:  7.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.427 [0.000, 5.000],  loss: 0.007857, mae: 0.072760, mean_q: 0.100708, mean_eps: 0.941309
  33295/600000: episode: 50, duration: 6.635s, episode steps: 386, steps per second:  58, episode reward:  7.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.492 [0.000, 5.000],  loss: 0.007576, mae: 0.072296, mean_q: 0.096608, mean_eps: 0.940416
  34138/600000: episode: 51, duration: 13.225s, episode steps: 843, steps per second:  64, episode reward:  9.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.368 [0.000, 5.000],  loss: 0.007075, mae: 0.071547, mean_q: 0.095002, mean_eps: 0.939311
  34670/600000: episode: 52, duration: 8.304s, episode steps: 532, steps per second:  64, episode reward:  5.000, mean reward:  0.009 [ 0.000,  1.000], mean action: 2.513 [0.000, 5.000],  loss: 0.005670, mae: 0.067304, mean_q: 0.089758, mean_eps: 0.938073
