Training for 1200000 steps ...
c:\Users\jgilg\anaconda3\envs\miar_rl\lib\site-packages\tensorflow\python\keras\engine\training.py:2424: UserWarning: `Model.state_updates` will be removed in a future version. This property should not be used in TensorFlow 2.0, as `updates` are applied automatically.
  warnings.warn('`Model.state_updates` will be removed in a future version. '
     420/1200000: episode: 1, duration: 1.941s, episode steps: 420, steps per second: 216, episode reward:  6.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.479 [0.000, 5.000],  loss: --, mae: --, mean_q: --, mean_eps: --
    1131/1200000: episode: 2, duration: 2.665s, episode steps: 711, steps per second: 267, episode reward:  7.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.415 [0.000, 5.000],  loss: --, mae: --, mean_q: --, mean_eps: --
    1941/1200000: episode: 3, duration: 3.539s, episode steps: 810, steps per second: 229, episode reward: 10.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.410 [0.000, 5.000],  loss: --, mae: --, mean_q: --, mean_eps: --
    2831/1200000: episode: 4, duration: 4.669s, episode steps: 890, steps per second: 191, episode reward: 12.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.394 [0.000, 5.000],  loss: --, mae: --, mean_q: --, mean_eps: --
    3206/1200000: episode: 5, duration: 1.841s, episode steps: 375, steps per second: 204, episode reward:  6.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.573 [0.000, 5.000],  loss: --, mae: --, mean_q: --, mean_eps: --
    3813/1200000: episode: 6, duration: 2.272s, episode steps: 607, steps per second: 267, episode reward:  7.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.446 [0.000, 5.000],  loss: --, mae: --, mean_q: --, mean_eps: --
    4535/1200000: episode: 7, duration: 2.397s, episode steps: 722, steps per second: 301, episode reward:  6.000, mean reward:  0.008 [ 0.000,  1.000], mean action: 2.493 [0.000, 5.000],  loss: --, mae: --, mean_q: --, mean_eps: --
    5186/1200000: episode: 8, duration: 2.680s, episode steps: 651, steps per second: 243, episode reward:  8.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.485 [0.000, 5.000],  loss: --, mae: --, mean_q: --, mean_eps: --
    6017/1200000: episode: 9, duration: 3.473s, episode steps: 831, steps per second: 239, episode reward:  9.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.436 [0.000, 5.000],  loss: --, mae: --, mean_q: --, mean_eps: --
    6548/1200000: episode: 10, duration: 2.004s, episode steps: 531, steps per second: 265, episode reward:  6.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.484 [0.000, 5.000],  loss: --, mae: --, mean_q: --, mean_eps: --
    7406/1200000: episode: 11, duration: 3.218s, episode steps: 858, steps per second: 267, episode reward: 13.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.438 [0.000, 5.000],  loss: --, mae: --, mean_q: --, mean_eps: --
