 50435/2000000: episode: 68, duration: 15.583s, episode steps: 687, steps per second:  44, episode reward: 10.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.553 [0.000, 5.000],  loss: 0.006000, mae: 0.026522, mean_q: 0.024521, mean_eps: 0.954804
   51173/2000000: episode: 69, duration: 23.928s, episode steps: 738, steps per second:  31, episode reward: 11.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.420 [0.000, 5.000],  loss: 0.007968, mae: 0.025257, mean_q: 0.014828, mean_eps: 0.954276
   51671/2000000: episode: 70, duration: 13.909s, episode steps: 498, steps per second:  36, episode reward:  7.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.494 [0.000, 5.000],  loss: 0.008242, mae: 0.029999, mean_q: 0.021858, mean_eps: 0.953720
   52091/2000000: episode: 71, duration: 10.353s, episode steps: 420, steps per second:  41, episode reward:  6.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.536 [0.000, 5.000],  loss: 0.008818, mae: 0.026515, mean_q: 0.011670, mean_eps: 0.953308
   52560/2000000: episode: 72, duration: 9.459s, episode steps: 469, steps per second:  50, episode reward:  7.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.535 [0.000, 5.000],  loss: 0.006763, mae: 0.022892, mean_q: 0.015155, mean_eps: 0.952908
   52942/2000000: episode: 73, duration: 7.104s, episode steps: 382, steps per second:  54, episode reward:  7.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.474 [0.000, 5.000],  loss: 0.007622, mae: 0.018032, mean_q: 0.011596, mean_eps: 0.952525
   53759/2000000: episode: 74, duration: 13.976s, episode steps: 817, steps per second:  58, episode reward:  9.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.554 [0.000, 5.000],  loss: 0.007590, mae: 0.031792, mean_q: 0.031925, mean_eps: 0.951985
   54375/2000000: episode: 75, duration: 10.308s, episode steps: 616, steps per second:  60, episode reward: 10.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.558 [0.000, 5.000],  loss: 0.007153, mae: 0.023335, mean_q: 0.024001, mean_eps: 0.951341
   55023/2000000: episode: 76, duration: 11.036s, episode steps: 648, steps per second:  59, episode reward:  6.000, mean reward:  0.009 [ 0.000,  1.000], mean action: 2.656 [0.000, 5.000],  loss: 0.007560, mae: 0.027453, mean_q: 0.033002, mean_eps: 0.950772
   55554/2000000: episode: 77, duration: 9.116s, episode steps: 531, steps per second:  58, episode reward:  9.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 2.471 [0.000, 5.000],  loss: 0.007393, mae: 0.042411, mean_q: 0.054715, mean_eps: 0.950241
   56237/2000000: episode: 78, duration: 11.779s, episode steps: 683, steps per second:  58, episode reward: 12.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.480 [0.000, 5.000],  loss: 0.007638, mae: 0.044074, mean_q: 0.054990, mean_eps: 0.949694
   56716/2000000: episode: 79, duration: 7.947s, episode steps: 479, steps per second:  60, episode reward:  6.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.528 [0.000, 5.000],  loss: 0.008115, mae: 0.042678, mean_q: 0.050954, mean_eps: 0.949172
   57257/2000000: episode: 80, duration: 8.608s, episode steps: 541, steps per second:  63, episode reward:  7.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.514 [0.000, 5.000],  loss: 0.006476, mae: 0.035669, mean_q: 0.046024, mean_eps: 0.948713
   58578/2000000: episode: 81, duration: 21.655s, episode steps: 1321, steps per second:  61, episode reward: 22.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 2.497 [0.000, 5.000],  loss: 0.007590, mae: 0.041851, mean_q: 0.049287, mean_eps: 0.947874
   59091/2000000: episode: 82, duration: 8.765s, episode steps: 513, steps per second:  59, episode reward:  5.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.359 [0.000, 5.000],  loss: 0.006931, mae: 0.038835, mean_q: 0.045064, mean_eps: 0.947049
   59606/2000000: episode: 83, duration: 9.081s, episode steps: 515, steps per second:  57, episode reward:  5.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.454 [0.000, 5.000],  loss: 0.007477, mae: 0.040171, mean_q: 0.049854, mean_eps: 0.946587
   60193/2000000: episode: 84, duration: 9.975s, episode steps: 587, steps per second:  59, episode reward:  9.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.562 [0.000, 5.000],  loss: 0.007329, mae: 0.044796, mean_q: 0.054478, mean_eps: 0.946090
   60694/2000000: episode: 85, duration: 8.281s, episode steps: 501, steps per second:  60, episode reward:  7.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.471 [0.000, 5.000],  loss: 0.007680, mae: 0.057517, mean_q: 0.071171, mean_eps: 0.945600
   61802/2000000: episode: 86, duration: 18.098s, episode steps: 1108, steps per second:  61, episode reward: 21.000, mean reward:  0.019 [ 0.000,  1.000], mean action: 2.508 [0.000, 5.000],  loss: 0.006357, mae: 0.052195, mean_q: 0.061893, mean_eps: 0.944877
   62286/2000000: episode: 87, duration: 8.693s, episode steps: 484, steps per second:  56, episode reward:  7.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.446 [0.000, 5.000],  loss: 0.008366, mae: 0.056492, mean_q: 0.066674, mean_eps: 0.944160
   62665/2000000: episode: 88, duration: 6.663s, episode steps: 379, steps per second:  57, episode reward:  8.000, mean reward:  0.021 [ 0.000,  1.000], mean action: 2.488 [0.000, 5.000],  loss: 0.007707, mae: 0.054596, mean_q: 0.065109, mean_eps: 0.943772
   63016/2000000: episode: 89, duration: 6.194s, episode steps: 351, steps per second:  57, episode reward:  5.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.302 [0.000, 5.000],  loss: 0.008218, mae: 0.057052, mean_q: 0.065533, mean_eps: 0.943444
   63535/2000000: episode: 90, duration: 9.289s, episode steps: 519, steps per second:  56, episode reward:  7.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.480 [0.000, 5.000],  loss: 0.006597, mae: 0.050601, mean_q: 0.058813, mean_eps: 0.943053
   63990/2000000: episode: 91, duration: 8.056s, episode steps: 455, steps per second:  56, episode reward:  5.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.481 [0.000, 5.000],  loss: 0.005712, mae: 0.050185, mean_q: 0.058954, mean_eps: 0.942614
   64352/2000000: episode: 92, duration: 6.778s, episode steps: 362, steps per second:  53, episode reward:  6.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 2.450 [0.000, 5.000],  loss: 0.010774, mae: 0.056406, mean_q: 0.066277, mean_eps: 0.942247
   65161/2000000: episode: 93, duration: 13.886s, episode steps: 809, steps per second:  58, episode reward:  9.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.391 [0.000, 5.000],  loss: 0.006458, mae: 0.055666, mean_q: 0.067391, mean_eps: 0.941720
   65975/2000000: episode: 94, duration: 16.195s, episode steps: 814, steps per second:  50, episode reward: 13.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.423 [0.000, 5.000],  loss: 0.007133, mae: 0.071168, mean_q: 0.089550, mean_eps: 0.940989
   66547/2000000: episode: 95, duration: 11.578s, episode steps: 572, steps per second:  49, episode reward:  4.000, mean reward:  0.007 [ 0.000,  1.000], mean action: 2.469 [0.000, 5.000],  loss: 0.007538, mae: 0.075206, mean_q: 0.092118, mean_eps: 0.940366
   66938/2000000: episode: 96, duration: 7.339s, episode steps: 391, steps per second:  53, episode reward:  2.000, mean reward:  0.005 [ 0.000,  1.000], mean action: 2.545 [0.000, 5.000],  loss: 0.005984, mae: 0.071985, mean_q: 0.088885, mean_eps: 0.939932
   67768/2000000: episode: 97, duration: 16.479s, episode steps: 830, steps per second:  50, episode reward: 14.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 2.539 [0.000, 5.000],  loss: 0.007948, mae: 0.074118, mean_q: 0.091089, mean_eps: 0.939383
   68409/2000000: episode: 98, duration: 12.830s, episode steps: 641, steps per second:  50, episode reward: 10.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.534 [0.000, 5.000],  loss: 0.006253, mae: 0.070324, mean_q: 0.088153, mean_eps: 0.938721
   68912/2000000: episode: 99, duration: 10.601s, episode steps: 503, steps per second:  47, episode reward:  5.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.620 [0.000, 5.000],  loss: 0.008408, mae: 0.076214, mean_q: 0.093894, mean_eps: 0.938206
   69301/2000000: episode: 100, duration: 7.505s, episode steps: 389, steps per second:  52, episode reward:  7.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.797 [0.000, 5.000],  loss: 0.007602, mae: 0.074364, mean_q: 0.090562, mean_eps: 0.937805
   69919/2000000: episode: 101, duration: 12.519s, episode steps: 618, steps per second:  49, episode reward:  7.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.387 [0.000, 5.000],  loss: 0.007113, mae: 0.072884, mean_q: 0.089357, mean_eps: 0.937351
   70430/2000000: episode: 102, duration: 9.656s, episode steps: 511, steps per second:  53, episode reward:  8.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.384 [0.000, 5.000],  loss: 0.007392, mae: 0.085433, mean_q: 0.107850, mean_eps: 0.936843
   71085/2000000: episode: 103, duration: 12.390s, episode steps: 655, steps per second:  53, episode reward:  7.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.608 [0.000, 5.000],  loss: 0.007528, mae: 0.089312, mean_q: 0.113418, mean_eps: 0.936318
   72008/2000000: episode: 104, duration: 16.819s, episode steps: 923, steps per second:  55, episode reward: 12.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.443 [0.000, 5.000],  loss: 0.006961, mae: 0.084349, mean_q: 0.106172, mean_eps: 0.935609
   73456/2000000: episode: 105, duration: 29.259s, episode steps: 1448, steps per second:  49, episode reward: 15.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.459 [0.000, 5.000],  loss: 0.008025, mae: 0.086599, mean_q: 0.106718, mean_eps: 0.934543
   74057/2000000: episode: 106, duration: 10.986s, episode steps: 601, steps per second:  55, episode reward:  5.000, mean reward:  0.008 [ 0.000,  1.000], mean action: 2.529 [0.000, 5.000],  loss: 0.007039, mae: 0.084405, mean_q: 0.106191, mean_eps: 0.933620
   74892/2000000: episode: 107, duration: 15.342s, episode steps: 835, steps per second:  54, episode reward: 12.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.468 [0.000, 5.000],  loss: 0.007548, mae: 0.084011, mean_q: 0.106907, mean_eps: 0.932973
   75379/2000000: episode: 108, duration: 8.214s, episode steps: 487, steps per second:  59, episode reward:  5.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.536 [0.000, 5.000],  loss: 0.008631, mae: 0.101138, mean_q: 0.128950, mean_eps: 0.932379
   76037/2000000: episode: 109, duration: 11.982s, episode steps: 658, steps per second:  55, episode reward:  2.000, mean reward:  0.003 [ 0.000,  1.000], mean action: 2.473 [0.000, 5.000],  loss: 0.007213, mae: 0.101803, mean_q: 0.128696, mean_eps: 0.931863
   77116/2000000: episode: 110, duration: 20.856s, episode steps: 1079, steps per second:  52, episode reward: 16.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.538 [0.000, 5.000],  loss: 0.006463, mae: 0.097704, mean_q: 0.122302, mean_eps: 0.931082
   77670/2000000: episode: 111, duration: 10.852s, episode steps: 554, steps per second:  51, episode reward:  5.000, mean reward:  0.009 [ 0.000,  1.000], mean action: 2.399 [0.000, 5.000],  loss: 0.007088, mae: 0.098203, mean_q: 0.123667, mean_eps: 0.930347
   78841/2000000: episode: 112, duration: 22.359s, episode steps: 1171, steps per second:  52, episode reward: 14.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.471 [0.000, 5.000],  loss: 0.007124, mae: 0.100689, mean_q: 0.126608, mean_eps: 0.929570
   80048/2000000: episode: 113, duration: 23.842s, episode steps: 1207, steps per second:  51, episode reward: 15.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.473 [0.000, 5.000],  loss: 0.006975, mae: 0.099241, mean_q: 0.122959, mean_eps: 0.928500
   80872/2000000: episode: 114, duration: 17.128s, episode steps: 824, steps per second:  48, episode reward:  7.000, mean reward:  0.008 [ 0.000,  1.000], mean action: 2.501 [0.000, 5.000],  loss: 0.008367, mae: 0.127797, mean_q: 0.161478, mean_eps: 0.927588
   81709/2000000: episode: 115, duration: 16.193s, episode steps: 837, steps per second:  52, episode reward: 12.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.476 [0.000, 5.000],  loss: 0.006563, mae: 0.123201, mean_q: 0.156452, mean_eps: 0.926839
   82474/2000000: episode: 116, duration: 13.110s, episode steps: 765, steps per second:  58, episode reward: 13.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 2.463 [0.000, 5.000],  loss: 0.006031, mae: 0.122008, mean_q: 0.154842, mean_eps: 0.926117
