25567/600000: episode: 36, duration: 13.727s, episode steps: 610, steps per second:  44, episode reward:  9.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.430 [0.000, 5.000],  loss: 0.007192, mae: 0.048469, mean_q: 0.077000, mean_eps: 0.949432
  26102/600000: episode: 37, duration: 11.881s, episode steps: 535, steps per second:  45, episode reward:  4.000, mean reward:  0.007 [ 0.000,  1.000], mean action: 2.355 [0.000, 5.000],  loss: 0.007197, mae: 0.047995, mean_q: 0.064971, mean_eps: 0.948332
  26749/600000: episode: 38, duration: 13.288s, episode steps: 647, steps per second:  49, episode reward:  7.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.607 [0.000, 5.000],  loss: 0.007832, mae: 0.049827, mean_q: 0.069318, mean_eps: 0.947148
  27389/600000: episode: 39, duration: 13.377s, episode steps: 640, steps per second:  48, episode reward:  9.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.573 [0.000, 5.000],  loss: 0.008593, mae: 0.052353, mean_q: 0.071454, mean_eps: 0.945860
  27801/600000: episode: 40, duration: 11.593s, episode steps: 412, steps per second:  36, episode reward:  4.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.456 [0.000, 5.000],  loss: 0.007756, mae: 0.049303, mean_q: 0.066817, mean_eps: 0.944808
  28619/600000: episode: 41, duration: 20.870s, episode steps: 818, steps per second:  39, episode reward: 12.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.576 [0.000, 5.000],  loss: 0.005667, mae: 0.045916, mean_q: 0.061772, mean_eps: 0.943580
  29100/600000: episode: 42, duration: 11.896s, episode steps: 481, steps per second:  40, episode reward:  5.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.576 [0.000, 5.000],  loss: 0.006351, mae: 0.047218, mean_q: 0.063353, mean_eps: 0.942284
  30430/600000: episode: 43, duration: 34.299s, episode steps: 1330, steps per second:  39, episode reward: 15.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.482 [0.000, 5.000],  loss: 0.006854, mae: 0.056752, mean_q: 0.077452, mean_eps: 0.940472
  30915/600000: episode: 44, duration: 12.876s, episode steps: 485, steps per second:  38, episode reward:  6.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.454 [0.000, 5.000],  loss: 0.006967, mae: 0.075569, mean_q: 0.100950, mean_eps: 0.938656
  31393/600000: episode: 45, duration: 13.742s, episode steps: 478, steps per second:  35, episode reward:  6.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.454 [0.000, 5.000],  loss: 0.007352, mae: 0.077938, mean_q: 0.105067, mean_eps: 0.937692
  31889/600000: episode: 46, duration: 15.643s, episode steps: 496, steps per second:  32, episode reward:  3.000, mean reward:  0.006 [ 0.000,  1.000], mean action: 2.577 [0.000, 5.000],  loss: 0.007012, mae: 0.075264, mean_q: 0.099886, mean_eps: 0.936716
  32302/600000: episode: 47, duration: 13.294s, episode steps: 413, steps per second:  31, episode reward:  5.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.508 [0.000, 5.000],  loss: 0.005215, mae: 0.073045, mean_q: 0.098104, mean_eps: 0.935808
  32700/600000: episode: 48, duration: 12.556s, episode steps: 398, steps per second:  32, episode reward:  7.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.432 [0.000, 5.000],  loss: 0.006663, mae: 0.074738, mean_q: 0.098791, mean_eps: 0.935000
  33679/600000: episode: 49, duration: 27.840s, episode steps: 979, steps per second:  35, episode reward: 11.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.456 [0.000, 5.000],  loss: 0.006680, mae: 0.075783, mean_q: 0.098296, mean_eps: 0.933624
