episode,steps,reward
0,420,6.0
1,1131,7.0
2,1941,10.0
3,2809,11.0
4,3730,17.0
5,4382,9.0
6,4891,9.0
7,5296,6.0
8,6272,14.0
9,7053,12.0
10,7825,9.0
11,8589,9.0
12,9284,9.0
13,9662,6.0
14,10694,16.0
15,11040,4.0
16,11832,13.0
17,12228,4.0
18,13313,17.0
19,14093,9.0
20,14697,8.0
21,15235,11.0
22,15630,5.0
23,16282,9.0
24,16783,6.0
25,17592,12.0
26,18214,6.0
27,18854,7.0
28,19684,18.0
29,20068,7.0
30,20487,5.0
31,21684,24.0
32,22357,7.0
33,23055,10.0
34,23439,5.0
35,23873,3.0
36,24266,4.0
37,25041,7.0
38,26212,20.0
39,27239,21.0
40,28003,10.0
41,28618,6.0
42,29434,13.0
43,30141,8.0
44,31139,11.0
45,31742,10.0
46,32474,11.0
47,33165,10.0
48,34095,9.0
49,35159,21.0
50,35924,9.0
51,36558,6.0
52,36977,3.0
53,37619,10.0
54,38261,9.0
55,38942,9.0
56,39464,9.0
57,40457,15.0
58,40969,7.0
59,41605,9.0
60,42374,11.0
61,43077,10.0
62,43483,7.0
63,44168,7.0
64,44758,6.0
65,45267,9.0
66,45752,6.0
67,46374,7.0
68,47641,23.0
69,48133,5.0
70,49593,22.0
71,50314,11.0
72,51406,21.0
73,51920,7.0
74,52734,16.0
75,53153,4.0
76,53678,5.0
77,54485,12.0
78,55325,12.0
79,55782,4.0
80,56567,11.0
81,57494,16.0
82,58266,15.0
83,59056,10.0
84,59772,10.0
85,60480,13.0
86,60996,1.0
87,61516,8.0
88,62397,17.0
89,63476,12.0
90,64067,3.0
91,64569,8.0
92,65146,6.0
93,66132,11.0
94,66946,11.0
95,67834,12.0
96,68768,12.0
97,69161,5.0
98,69856,14.0
99,70256,6.0
100,71307,11.0
101,71811,6.0
102,72657,17.0
103,73401,9.0
104,74123,9.0
105,74816,8.0
106,75924,14.0
107,76448,5.0
108,76848,5.0
109,78314,19.0
110,78950,8.0
111,79354,3.0
112,79940,8.0
113,80633,7.0
114,81441,16.0
115,82144,11.0
116,82898,10.0
117,84099,21.0
118,84849,13.0
119,85763,12.0
120,86199,7.0
121,86848,6.0
122,87885,14.0
123,89334,13.0
124,90013,7.0
125,90787,12.0
126,91444,8.0
127,92367,11.0
128,92909,3.0
129,93843,15.0
130,94424,9.0
131,94870,5.0
132,95622,9.0
133,96084,3.0
134,96703,7.0
135,97607,17.0
136,98008,7.0
137,99014,17.0
138,100281,25.0
139,101196,12.0
140,102376,16.0
141,103452,12.0
142,104694,15.0
143,105387,10.0
144,106465,16.0
145,106994,8.0
146,107486,7.0
147,108704,23.0
148,109413,13.0
149,110134,12.0
150,110761,8.0
151,111545,12.0
152,112269,11.0
153,112734,6.0
154,113348,6.0
155,113911,9.0
156,114458,5.0
157,114974,8.0
158,116153,13.0
159,117005,14.0
160,117745,11.0
161,118135,6.0
162,118718,6.0
163,119740,14.0
164,120812,22.0
165,122206,23.0
166,122827,7.0
167,123636,11.0
168,124316,8.0
169,124925,7.0
170,125406,4.0
171,126198,10.0
172,126748,8.0
173,127389,9.0
174,127771,6.0
175,128222,9.0
176,128864,9.0
177,129535,10.0
178,130206,11.0
179,130800,9.0
180,132029,15.0
181,132693,9.0
182,133494,11.0
183,134485,19.0
184,135156,10.0
185,135708,10.0
186,136428,12.0
187,137299,14.0
188,137825,7.0
189,138330,7.0
190,138951,5.0
191,139347,9.0
192,140044,7.0
193,140975,16.0
194,142306,24.0
195,143281,20.0
196,143984,11.0
197,144382,5.0
198,144903,6.0
199,145531,6.0
200,146028,7.0
201,146730,11.0
202,147250,7.0
203,147979,16.0
204,148714,9.0
205,149400,7.0
206,150104,11.0
207,150913,15.0
208,151421,8.0
209,151953,2.0
210,152709,11.0
211,153401,10.0
212,154123,7.0
213,154665,9.0
214,155178,6.0
215,155782,5.0
216,156582,12.0
217,157125,6.0
218,157968,14.0
219,158680,6.0
220,159062,4.0
221,159956,12.0
222,160518,7.0
223,161010,4.0
224,161683,9.0
225,162603,12.0
226,163239,9.0
227,163880,5.0
228,164398,9.0
229,165071,8.0
230,166385,21.0
231,167093,7.0
232,167989,18.0
233,168357,4.0
234,169281,12.0
235,169913,5.0
236,170623,13.0
237,171193,2.0
238,171881,11.0
239,172483,11.0
240,172969,4.0
241,173532,5.0
242,173995,3.0
243,174623,9.0
244,175416,15.0
245,176328,11.0
246,177143,13.0
247,177928,8.0
248,178483,9.0
249,179109,9.0
250,179724,11.0
251,180370,10.0
252,181146,8.0
253,181731,8.0
254,182357,9.0
255,183059,14.0
256,183616,6.0
257,184013,5.0
258,184616,9.0
259,185192,8.0
260,185711,5.0
261,186614,18.0
262,187094,10.0
263,187677,7.0
264,188052,3.0
265,188755,9.0
266,189462,12.0
267,190005,6.0
268,191091,20.0
269,191511,4.0
270,192119,11.0
271,192927,11.0
272,193449,8.0
273,193931,7.0
274,195045,15.0
275,195778,10.0
276,196427,11.0
277,197969,29.0
278,198656,9.0
279,199477,6.0
280,200823,22.0
281,201534,6.0
282,202152,10.0
283,202830,9.0
284,203861,19.0
285,204306,7.0
286,204849,11.0
287,205800,15.0
288,206510,9.0
289,206972,5.0
290,207593,11.0
291,208723,11.0
292,209132,9.0
293,209670,6.0
294,210332,8.0
295,210951,8.0
296,211673,11.0
297,212370,9.0
298,213173,13.0
299,213871,10.0
300,214457,6.0
301,214840,4.0
302,215667,14.0
303,216291,11.0
304,216731,5.0
305,217538,14.0
306,218261,10.0
307,218912,10.0
308,219849,15.0
309,220456,8.0
310,221417,20.0
311,222034,10.0
312,222598,8.0
313,223291,12.0
314,223939,7.0
315,224450,9.0
316,224996,9.0
317,225559,9.0
318,226205,7.0
319,227146,17.0
320,227942,14.0
321,228754,12.0
322,229276,6.0
323,230213,15.0
324,230953,12.0
325,231733,13.0
326,232103,8.0
327,232923,14.0
328,233419,8.0
329,234187,10.0
330,235008,14.0
331,235630,11.0
332,236481,6.0
333,237205,12.0
334,238139,16.0
335,238515,3.0
336,238904,5.0
337,239287,5.0
338,240040,10.0
339,240548,4.0
340,241340,15.0
341,241871,9.0
342,242803,20.0
343,243300,7.0
344,243849,10.0
345,244681,16.0
346,245316,6.0
347,245958,10.0
348,246315,5.0
349,246712,7.0
350,247423,12.0
351,248066,10.0
352,248465,9.0
353,249013,8.0
354,249668,10.0
355,250460,15.0
356,250960,4.0
357,251712,13.0
358,252346,10.0
359,253036,10.0
360,253735,10.0
361,254261,8.0
362,254885,8.0
363,255330,5.0
364,255826,7.0
365,256541,9.0
366,257072,4.0
367,257711,10.0
368,258352,7.0
369,258752,8.0
370,259284,8.0
371,259894,8.0
372,260575,7.0
373,261231,8.0
374,262168,12.0
375,262779,6.0
376,263263,6.0
377,263955,9.0
378,264569,10.0
379,264975,6.0
380,265486,7.0
381,266161,12.0
382,266782,10.0
383,267502,12.0
384,268186,11.0
385,269228,19.0
386,269976,15.0
387,270728,13.0
388,271237,5.0
389,272015,17.0
390,272528,9.0
391,272903,7.0
392,273798,21.0
393,274570,17.0
394,275211,7.0
395,275760,10.0
396,276386,7.0
397,276907,4.0
398,277502,10.0
399,278001,8.0
400,278457,7.0
401,279080,10.0
402,279617,6.0
403,280013,5.0
404,281044,18.0
405,281678,10.0
406,282129,5.0
407,282622,3.0
408,283428,11.0
409,283808,7.0
410,284306,9.0
411,284975,11.0
412,285633,10.0
413,286238,9.0
414,286889,11.0
415,287498,6.0
416,288039,8.0
417,288674,10.0
418,289067,7.0
419,289699,9.0
420,290405,11.0
421,290792,7.0
422,291486,8.0
423,292384,15.0
424,293067,9.0
425,293701,10.0
426,294195,5.0
427,294908,12.0
428,295453,9.0
429,295990,6.0
430,296374,5.0
431,297087,10.0
432,297766,11.0
433,298356,10.0
434,298944,11.0
435,299525,12.0
436,300322,14.0
437,301339,22.0
438,301834,3.0
439,302521,10.0
440,303121,7.0
441,304066,14.0
442,304759,14.0
443,305275,9.0
444,305869,11.0
445,306640,10.0
446,307043,4.0
447,308003,20.0
448,308826,11.0
449,309413,10.0
450,310047,11.0
451,310716,10.0
452,311597,15.0
453,312625,21.0
454,313375,13.0
455,313879,10.0
456,314512,8.0
457,315070,8.0
458,315651,8.0
459,316651,19.0
460,317364,12.0
461,317743,7.0
462,318295,6.0
463,318685,6.0
464,319242,11.0
465,319871,6.0
