step,total_steps,episode,duration,episode_steps,steps_per_second,episode_reward,mean_reward,mean_action,loss,mae,mean_q,mean_eps
100125,6000000,147,4.360,511,117,6.000,0.012,2.386,0.006741,0.023042,0.034233,0.979987
100706,6000000,148,11.515,581,50,7.000,0.012,2.415,0.006867,0.021066,0.027090,0.979917
101305,6000000,149,10.554,599,57,8.000,0.013,2.601,0.007287,0.024213,0.030063,0.979799
101942,6000000,150,11.215,637,57,9.000,0.014,2.562,0.006700,0.019946,0.023068,0.979675
102720,6000000,151,15.184,778,51,11.000,0.014,2.348,0.007296,0.019508,0.020582,0.979534
103246,6000000,152,12.680,526,41,7.000,0.013,2.331,0.009009,0.020975,0.016762,0.979404
103998,6000000,153,14.648,752,51,9.000,0.012,2.578,0.006882,0.021185,0.023980,0.979276
104513,6000000,154,8.605,515,60,7.000,0.014,2.612,0.006791,0.017488,0.002941,0.979149
105222,6000000,155,11.900,709,60,10.000,0.014,2.656,0.008263,0.019409,0.018784,0.979026
105735,6000000,156,8.243,513,62,9.000,0.018,2.532,0.006279,0.027529,0.037702,0.978904
106149,6000000,157,7.227,414,57,4.000,0.010,2.384,0.005285,0.025092,0.034065,0.978812
107012,6000000,158,14.581,863,59,11.000,0.013,2.494,0.005687,0.023696,0.030859,0.978684
107848,6000000,159,14.848,836,56,18.000,0.022,2.585,0.007070,0.027552,0.036134,0.978514
108653,6000000,160,14.652,805,55,10.000,0.012,2.502,0.006430,0.024922,0.032261,0.978350
109648,6000000,161,17.296,995,58,23.000,0.023,2.456,0.006738,0.025134,0.032546,0.978170
110209,6000000,162,10.482,561,54,8.000,0.014,2.488,0.007274,0.031934,0.041551,0.978014
110975,6000000,163,14.279,766,54,8.000,0.010,2.466,0.006388,0.042414,0.055949,0.977882
111596,6000000,164,10.911,621,57,11.000,0.018,2.549,0.008540,0.046237,0.058621,0.977743
112499,6000000,165,15.444,903,58,18.000,0.020,2.564,0.006433,0.040625,0.053398,0.977591
113295,6000000,166,15.024,796,53,12.000,0.015,2.479,0.006916,0.040265,0.052692,0.977421
113696,6000000,167,7.439,401,54,4.000,0.010,2.514,0.006389,0.041037,0.053917,0.977301
114434,6000000,168,13.175,738,56,12.000,0.016,2.511,0.006888,0.042160,0.054745,0.977187
114957,6000000,169,8.951,523,58,7.000,0.013,2.428,0.006219,0.039652,0.052564,0.977061
115635,6000000,170,10.969,678,62,10.000,0.015,2.394,0.006673,0.051348,0.067380,0.976941
116122,6000000,171,8.256,487,59,5.000,0.010,2.589,0.006123,0.050706,0.066634,0.976824
116813,6000000,172,12.802,691,54,8.000,0.012,2.407,0.005761,0.051417,0.066675,0.976706
117951,6000000,173,20.907,1138,54,18.000,0.016,2.579,0.005973,0.049762,0.064822,0.976524
118624,6000000,174,11.623,673,58,7.000,0.010,2.541,0.007103,0.055190,0.072606,0.976343
119414,6000000,175,13.338,790,59,11.000,0.014,2.500,0.007856,0.052992,0.067871,0.976196
119812,6000000,176,6.523,398,61,4.000,0.010,2.578,0.005949,0.050122,0.066288,0.976078
120521,6000000,177,12.870,709,55,9.000,0.013,2.447,0.005864,0.067772,0.086789,0.975967
121434,6000000,178,15.796,913,58,12.000,0.013,2.555,0.006537,0.076001,0.096149,0.975804
122071,6000000,179,10.281,637,62,9.000,0.014,2.451,0.006118,0.077206,0.097997,0.975650
122723,6000000,180,10.464,652,62,13.000,0.020,2.439,0.006901,0.077082,0.097520,0.975521
123307,6000000,181,9.879,584,59,5.000,0.009,2.361,0.006561,0.074699,0.093609,0.975397
123922,6000000,182,10.600,615,58,12.000,0.020,2.366,0.006496,0.074956,0.095455,0.975277
124309,6000000,183,6.854,387,56,4.000,0.010,2.488,0.006464,0.075122,0.096962,0.975177
124843,6000000,184,9.321,534,57,5.000,0.009,2.453,0.008036,0.079379,0.101165,0.975085
125501,6000000,185,11.832,658,56,7.000,0.011,2.500,0.005951,0.090788,0.116027,0.974966
126108,6000000,186,10.599,607,57,8.000,0.013,2.453,0.006683,0.096565,0.121343,0.974839
126618,6000000,187,9.023,510,57,5.000,0.010,2.488,0.004699,0.091581,0.115712,0.974728
127522,6000000,188,15.300,904,59,10.000,0.011,2.539,0.006799,0.095498,0.120073,0.974586
128110,6000000,189,9.894,588,59,10.000,0.017,2.553,0.006851,0.097747,0.123408,0.974437
128736,6000000,190,11.513,626,54,8.000,0.013,2.543,0.006898,0.096818,0.121779,0.974316
129431,6000000,191,13.215,695,53,11.000,0.016,2.422,0.005612,0.093134,0.117773,0.974184
129826,6000000,192,7.285,395,54,6.000,0.015,2.392,0.006741,0.096102,0.120713,0.974074
130223,6000000,193,7.156,397,55,5.000,0.013,2.562,0.006175,0.105825,0.132825,0.973995
