  100125/6000000: episode: 147, duration: 4.360s, episode steps: 511, steps per second: 117, episode reward:  6.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.386 [0.000, 5.000],  loss: 0.006741, mae: 0.023042, mean_q: 0.034233, mean_eps: 0.979987
  100706/6000000: episode: 148, duration: 11.515s, episode steps: 581, steps per second:  50, episode reward:  7.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.415 [0.000, 5.000],  loss: 0.006867, mae: 0.021066, mean_q: 0.027090, mean_eps: 0.979917
  101305/6000000: episode: 149, duration: 10.554s, episode steps: 599, steps per second:  57, episode reward:  8.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.601 [0.000, 5.000],  loss: 0.007287, mae: 0.024213, mean_q: 0.030063, mean_eps: 0.979799
  101942/6000000: episode: 150, duration: 11.215s, episode steps: 637, steps per second:  57, episode reward:  9.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.562 [0.000, 5.000],  loss: 0.006700, mae: 0.019946, mean_q: 0.023068, mean_eps: 0.979675
  102720/6000000: episode: 151, duration: 15.184s, episode steps: 778, steps per second:  51, episode reward: 11.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.348 [0.000, 5.000],  loss: 0.007296, mae: 0.019508, mean_q: 0.020582, mean_eps: 0.979534
  103246/6000000: episode: 152, duration: 12.680s, episode steps: 526, steps per second:  41, episode reward:  7.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.331 [0.000, 5.000],  loss: 0.009009, mae: 0.020975, mean_q: 0.016762, mean_eps: 0.979404
  103998/6000000: episode: 153, duration: 14.648s, episode steps: 752, steps per second:  51, episode reward:  9.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.578 [0.000, 5.000],  loss: 0.006882, mae: 0.021185, mean_q: 0.023980, mean_eps: 0.979276
  104513/6000000: episode: 154, duration: 8.605s, episode steps: 515, steps per second:  60, episode reward:  7.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.612 [0.000, 5.000],  loss: 0.006791, mae: 0.017488, mean_q: 0.002941, mean_eps: 0.979149
  105222/6000000: episode: 155, duration: 11.900s, episode steps: 709, steps per second:  60, episode reward: 10.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.656 [0.000, 5.000],  loss: 0.008263, mae: 0.019409, mean_q: 0.018784, mean_eps: 0.979026
  105735/6000000: episode: 156, duration: 8.243s, episode steps: 513, steps per second:  62, episode reward:  9.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.532 [0.000, 5.000],  loss: 0.006279, mae: 0.027529, mean_q: 0.037702, mean_eps: 0.978904
  106149/6000000: episode: 157, duration: 7.227s, episode steps: 414, steps per second:  57, episode reward:  4.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.384 [0.000, 5.000],  loss: 0.005285, mae: 0.025092, mean_q: 0.034065, mean_eps: 0.978812
  107012/6000000: episode: 158, duration: 14.581s, episode steps: 863, steps per second:  59, episode reward: 11.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.494 [0.000, 5.000],  loss: 0.005687, mae: 0.023696, mean_q: 0.030859, mean_eps: 0.978684
  107848/6000000: episode: 159, duration: 14.848s, episode steps: 836, steps per second:  56, episode reward: 18.000, mean reward:  0.022 [ 0.000,  1.000], mean action: 2.585 [0.000, 5.000],  loss: 0.007070, mae: 0.027552, mean_q: 0.036134, mean_eps: 0.978514
  108653/6000000: episode: 160, duration: 14.652s, episode steps: 805, steps per second:  55, episode reward: 10.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.502 [0.000, 5.000],  loss: 0.006430, mae: 0.024922, mean_q: 0.032261, mean_eps: 0.978350
  109648/6000000: episode: 161, duration: 17.296s, episode steps: 995, steps per second:  58, episode reward: 23.000, mean reward:  0.023 [ 0.000,  1.000], mean action: 2.456 [0.000, 5.000],  loss: 0.006738, mae: 0.025134, mean_q: 0.032546, mean_eps: 0.978170
  110209/6000000: episode: 162, duration: 10.482s, episode steps: 561, steps per second:  54, episode reward:  8.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.488 [0.000, 5.000],  loss: 0.007274, mae: 0.031934, mean_q: 0.041551, mean_eps: 0.978014
  110975/6000000: episode: 163, duration: 14.279s, episode steps: 766, steps per second:  54, episode reward:  8.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.466 [0.000, 5.000],  loss: 0.006388, mae: 0.042414, mean_q: 0.055949, mean_eps: 0.977882
  111596/6000000: episode: 164, duration: 10.911s, episode steps: 621, steps per second:  57, episode reward: 11.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.549 [0.000, 5.000],  loss: 0.008540, mae: 0.046237, mean_q: 0.058621, mean_eps: 0.977743
  112499/6000000: episode: 165, duration: 15.444s, episode steps: 903, steps per second:  58, episode reward: 18.000, mean reward:  0.020 [ 0.000,  1.000], mean action: 2.564 [0.000, 5.000],  loss: 0.006433, mae: 0.040625, mean_q: 0.053398, mean_eps: 0.977591
  113295/6000000: episode: 166, duration: 15.024s, episode steps: 796, steps per second:  53, episode reward: 12.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.479 [0.000, 5.000],  loss: 0.006916, mae: 0.040265, mean_q: 0.052692, mean_eps: 0.977421
